"","species","sex","body_mass_g"
"1","Adelie Penguin (Pygoscelis adeliae)","MALE",3750
"2","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3800
"3","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3250
"4","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3450
"5","Adelie Penguin (Pygoscelis adeliae)","MALE",3650
"6","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3625
"7","Adelie Penguin (Pygoscelis adeliae)","MALE",4675
"8","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3200
"9","Adelie Penguin (Pygoscelis adeliae)","MALE",3800
"10","Adelie Penguin (Pygoscelis adeliae)","MALE",4400
"11","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3700
"12","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3450
"13","Adelie Penguin (Pygoscelis adeliae)","MALE",4500
"14","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3325
"15","Adelie Penguin (Pygoscelis adeliae)","MALE",4200
"16","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3400
"17","Adelie Penguin (Pygoscelis adeliae)","MALE",3600
"18","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3800
"19","Adelie Penguin (Pygoscelis adeliae)","MALE",3950
"20","Adelie Penguin (Pygoscelis adeliae)","MALE",3800
"21","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3800
"22","Adelie Penguin (Pygoscelis adeliae)","MALE",3550
"23","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3200
"24","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3150
"25","Adelie Penguin (Pygoscelis adeliae)","MALE",3950
"26","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3250
"27","Adelie Penguin (Pygoscelis adeliae)","MALE",3900
"28","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3300
"29","Adelie Penguin (Pygoscelis adeliae)","MALE",3900
"30","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3325
"31","Adelie Penguin (Pygoscelis adeliae)","MALE",4150
"32","Adelie Penguin (Pygoscelis adeliae)","MALE",3950
"33","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3550
"34","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3300
"35","Adelie Penguin (Pygoscelis adeliae)","MALE",4650
"36","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3150
"37","Adelie Penguin (Pygoscelis adeliae)","MALE",3900
"38","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3100
"39","Adelie Penguin (Pygoscelis adeliae)","MALE",4400
"40","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3000
"41","Adelie Penguin (Pygoscelis adeliae)","MALE",4600
"42","Adelie Penguin (Pygoscelis adeliae)","MALE",3425
"43","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3450
"44","Adelie Penguin (Pygoscelis adeliae)","MALE",4150
"45","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3500
"46","Adelie Penguin (Pygoscelis adeliae)","MALE",4300
"47","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3450
"48","Adelie Penguin (Pygoscelis adeliae)","MALE",4050
"49","Adelie Penguin (Pygoscelis adeliae)","FEMALE",2900
"50","Adelie Penguin (Pygoscelis adeliae)","MALE",3700
"51","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3550
"52","Adelie Penguin (Pygoscelis adeliae)","MALE",3800
"53","Adelie Penguin (Pygoscelis adeliae)","FEMALE",2850
"54","Adelie Penguin (Pygoscelis adeliae)","MALE",3750
"55","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3150
"56","Adelie Penguin (Pygoscelis adeliae)","MALE",4400
"57","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3600
"58","Adelie Penguin (Pygoscelis adeliae)","MALE",4050
"59","Adelie Penguin (Pygoscelis adeliae)","FEMALE",2850
"60","Adelie Penguin (Pygoscelis adeliae)","MALE",3950
"61","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3350
"62","Adelie Penguin (Pygoscelis adeliae)","MALE",4100
"63","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3050
"64","Adelie Penguin (Pygoscelis adeliae)","MALE",4450
"65","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3600
"66","Adelie Penguin (Pygoscelis adeliae)","MALE",3900
"67","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3550
"68","Adelie Penguin (Pygoscelis adeliae)","MALE",4150
"69","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3700
"70","Adelie Penguin (Pygoscelis adeliae)","MALE",4250
"71","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3700
